Node;Degree Centrality
DBN-GREY1-TSN498-CAPRISA-ECRS;0.027777777777777776
DBN-GREY1-TSN497-CAPRISA-DDMRI;0.018518518518518517
DBN-GREY1-TSN151-DUTC;0.009259259259259259
DBN-GREY1-TSN176-UNISAM;0.009259259259259259
DBN-GREY1-TSN232-NMMS;0.009259259259259259
CPT-GREYSS1-TSN500-CPUTSPR;0.009259259259259259
CPT-GREYSS1-TSN145-CPUTM;0.009259259259259259
CPT4-PE1;0.018518518518518517
CPT1-IR1;0.018518518518518517
TENET-TSN118-AIMS;0.018518518518518517
CPT-GREYSS1-TSN495-UCTVH;0.009259259259259259
CPT-GREYSS1-TSN39-SAAO;0.018518518518518517
JNB-GREY2-TSN99-CSMI;0.018518518518518517
JNB-GREY2-TSN42-UJBU;0.037037037037037035
JNB3-PE1;0.018518518518518517
JNB-GREY2-TSN42-UJBU-2;0.009259259259259259
JNB-GREY2-TSN295-CSIR-CTF;0.018518518518518517
JNB-GREY1-TSN110-WITSE;0.018518518518518517
JNB-GREY1-TSN112-WITSM;0.018518518518518517
JNB-TSN44-UJ-DF-PE;0.009259259259259259
HMS-TSN28-SANSA;0.018518518518518517
GRJ-TSN459-NMU-GC;0.027777777777777776
CPT2-PE1;0.018518518518518517
VDP-GREY2-TSN484-DFA-VDBP;0.018518518518518517
VDP-GREY2-TSN139-NWUFAR;0.018518518518518517
VDP1-PE1;0.018518518518518517
CPT-GREYSS1-TSN463-DFA-PLN;0.027777777777777776
CPT3-PE1;0.25
CPT1-LAB1;0.009259259259259259
TENET-TSN470-DFA-WYN;0.018518518518518517
TERACO-TSN462-RDB;0.018518518518518517
SLB-TSN750-DOA-ELSEN;0.009259259259259259
PHU-TSN247-UFSQ;0.027777777777777776
BTH-TSN504-ARC-SGI;0.018518518518518517
DUR3-PE1;0.018518518518518517
WEL1-PE1;0.018518518518518517
PTA-GREYS2-TSN499-DFASAMCOR;0.027777777777777776
PTA-GREYS2-TSN257-SANBI;0.009259259259259259
PTA-GREYS2-TSN260-CGS;0.009259259259259259
PTA-GREYS2-TSN509-UP-MAMC;0.009259259259259259
BFN2-PE1;0.046296296296296294
BFN3-PE1;0.018518518518518517
BFN1-PE1;0.018518518518518517
BFN-GREY1-TSN246-UFSPSY;0.009259259259259259
BFN-GREY1-TSN244-UFSNATH;0.009259259259259259
JNB2-PE1;0.009259259259259259
PTA-GREYS2-TSN40-USAF;0.018518518518518517
PTA-GREYS2-TSN973-UNIVEN-COL;0.009259259259259259
PTA-GREYS2-TSN261-ARC-HO-PE;0.009259259259259259
UTW-TSN468-WSUQ;0.018518518518518517
UTT-TSN86-WSU-NMD-PE;0.009259259259259259
WTS-TSN467-WSUW;0.009259259259259259
PLZ1-PE1;0.018518518518518517
ISD1-PE1-ISD1-PR1;0.009259259259259259
ISD1-PE1;0.018518518518518517
CPT7-PE1;0.009259259259259259
CPT-TSN793-NSFAS-CBD;0.009259259259259259
CPT3-PE1-CPT3-PR1;0.009259259259259259
CPT3-PE1-CPT3-PR2;0.009259259259259259
PLZ2-PE1;0.009259259259259259
NC-SAAO-TSN91-SUTH;0.009259259259259259
LDN1-IR1;0.009259259259259259
ISD1-PE2;0.009259259259259259
SMT-TSN590-IMT;0.009259259259259259
CAR-TSN237-SKA-CAR-PE;0.009259259259259259
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE1;0.009259259259259259
CPT-GREYSS2-TSN170-UCTSSI;0.009259259259259259
CPT-GREYSS2-TSN270-UCTGSR;0.009259259259259259
CPT9-PE1;0.009259259259259259
CPT-GREYSS2-TSN236-SARAO-PE;0.009259259259259259
CPT-TSN943-DHA-WYNBERG;0.009259259259259259
CPT3-PE2;0.009259259259259259
PZB-GREY1-TSN383-DUTI;0.018518518518518517
PZB1-PE1;0.037037037037037035
PZB-GREY1-TSN384-SANBIP;0.018518518518518517
PZB-GREY1-TSN193-UNISAP;0.027777777777777776
PZB-GREY1-TSN385-CGSP;0.027777777777777776
PZB-GREY1-TSN10-DUTRC;0.018518518518518517
BFN-GREY1-TSN242-UFSSC;0.018518518518518517
BFN-GREY1-TSN245-UFSPELH;0.009259259259259259
ELS-GREY1-TSN108-WSU-CHS;0.018518518518518517
ELS3-PE1;0.009259259259259259
ELS-GREY1-TSN177-UNISAE;0.009259259259259259
ELS-GREY1-TSN393-WSU-CAM;0.018518518518518517
ELS2-PE1;0.009259259259259259
ELS1-PE1;0.009259259259259259
PTA-GREYN2-TSN395-TUT-ZET;0.018518518518518517
PTA-GREYN2-TSN141-UPGC;0.009259259259259259
