Node;Betweenness Centrality
2;0.0
4;0.0
5;0.0
6;0.0
7;0.0
8;0.0
9;0.0
11;0.0
12;0.0
13;0.0
14;0.0
15;0.0
22;0.0
26;0.0
32;0.0
29;0.002150537634408602
23;0.0035842293906810036
17;0.008243727598566307
30;0.012903225806451613
18;0.021863799283154118
25;0.02652329749103943
27;0.03942652329749104
19;0.04659498207885304
28;0.04946236559139785
31;0.07096774193548387
20;0.07849462365591398
21;0.10501792114695338
24;0.12365591397849464
10;0.23691756272401435
16;0.29175627240143376
3;0.3698924731182795
1;0.5512544802867383
