Node;Degree Centrality
1;0.3870967741935484
2;0.03225806451612903
3;0.3225806451612903
4;0.03225806451612903
5;0.03225806451612903
6;0.03225806451612903
7;0.03225806451612903
8;0.06451612903225806
9;0.03225806451612903
10;0.22580645161290322
11;0.06451612903225806
12;0.03225806451612903
13;0.03225806451612903
14;0.06451612903225806
15;0.06451612903225806
16;0.1935483870967742
17;0.06451612903225806
18;0.06451612903225806
19;0.06451612903225806
20;0.0967741935483871
21;0.06451612903225806
22;0.06451612903225806
23;0.0967741935483871
24;0.12903225806451613
25;0.0967741935483871
26;0.06451612903225806
27;0.06451612903225806
28;0.06451612903225806
29;0.06451612903225806
30;0.06451612903225806
31;0.0967741935483871
32;0.03225806451612903
